Time,Input,Output
0.0,0.18727005942368125,0.0
0.01,0.4753571532049581,0.0
0.02,0.36599697090570255,0.0
0.03,0.2993292420985183,0.0
0.04,0.07800932022121826,0.0
0.05,0.07799726016810132,0.0
0.06,0.02904180608409973,0.0
0.07,0.4330880728874676,0.0
0.08,0.3005575058716044,0.0
0.09,0.35403628889802274,0.0
0.1,0.010292247147901223,0.19945059529010845
0.11,0.48495492608099716,0.16916294554157374
0.12,0.41622132040021087,0.4201047222363178
0.13,0.10616955533913808,0.42947944858329945
0.14,0.09091248360355031,0.26742670090855447
0.15,0.09170225492671691,0.21072917899880245
0.16,0.15212112147976886,0.1850871123392666
0.17,0.2623782158161189,0.27176042006861134
0.18,0.21597250932105788,0.32907548132875236
0.19,0.14561457009902096,0.35425862138858955
0.2,0.30592644736118974,0.25876899107852863
0.21,0.06974693032602092,0.4376393598328733
0.22,0.14607232426760908,0.34407881568055654
0.23,0.18318092164684585,0.27961729665560076
0.24,0.22803499210851796,0.24994729791753476
0.25,0.3925879806965068,0.24285550899366914
0.26,0.09983689107917987,0.2982967340124614
0.27,0.2571172192068058,0.2745149000396409
0.28,0.29620728443102123,0.3077748855151746
0.29,0.023225206359998862,0.3039316926989549
0.3,0.3037724259507192,0.24738794514672444
0.31,0.08526206184364576,0.24293274474868704
0.32,0.03252579649263976,0.22546683266641654
0.33,0.4744427686266666,0.20670775933658334
0.34,0.4828160165372797,0.3511667674146687
0.35000000000000003,0.40419867405823057,0.5370973777060285
0.36,0.15230688458668534,0.40209791008434226
0.37,0.048836057003191935,0.34167711271386325
0.38,0.34211651325607845,0.27829313218570795
0.39,0.22007624686980065,0.23905345775848508
0.4,0.06101911742238941,0.3087128696550845
0.41000000000000003,0.2475884550556351,0.24878083476400287
0.42,0.017194260557609198,0.22576059238352064
0.43,0.45466020103939103,0.21540176769957015
0.44,0.12938999080000846,0.5278010596921702
0.45,0.331261142176991,0.42452759080639135
0.46,0.15585553804470548,0.37121969410286215
0.47000000000000003,0.2600340105889054,0.2818296894671597
0.48,0.2733551396716398,0.36197668789380155
0.49,0.09242722776276352,0.35683939315093294
0.5,0.4847923138822793,0.274797751822376
0.51,0.3875664116805573,0.40767239361553775
0.52,0.46974947078209456,0.3025767814436493
0.53,0.4474136752138244,0.5644613715237892
0.54,0.29894998940554257,0.46550245729719686
0.55,0.4609371175115584,0.47690740159707723
0.56,0.04424625102595975,0.4429649745339591
0.5700000000000001,0.0979914312095726,0.3373128605221497
0.58,0.022613644455269033,0.3086845351468772
0.59,0.16266516538163217,0.25651619740626
0.6,0.194338644844741,0.34446081288262864
0.61,0.13567451588694796,0.3836083902075941
0.62,0.41436875457596467,0.38515955318360284
0.63,0.17837666334679464,0.5700082602274473
0.64,0.14046725484369038,0.46416974574042025
0.65,0.27134804157912423,0.42850366519066396
0.66,0.07046211248738132,0.330576777752551
0.67,0.40109849037701983,0.2724884187160854
0.68,0.03727532183988541,0.24636420833243927
0.6900000000000001,0.49344346830025865,0.22835823438414962
0.7000000000000001,0.3861223846483287,0.3540677746939652
0.71,0.0993578407670862,0.3496536967956554
0.72,0.0027610585618011996,0.3301030742229803
0.73,0.4077307142274171,0.25876395439025857
0.74,0.35342867192380856,0.3057563877808547
0.75,0.36450358402049365,0.383043300656861
0.76,0.38563517334297287,0.31202836932310557
0.77,0.03702232586704518,0.47306314036126007
0.78,0.1792328642721363,0.32065363394328283
0.79,0.05793452976256486,0.38201424040889986
